property_id,property_name,mgmt_fee_type,mgmt_fee_value,notes
9d84e59c-4d85-4fc2-b7ba-d1c9cf037ed5,1035 Hesners Lake,percent,23,
1dfb6d25-0a99-452b-b509-03ae69bc0d8e,1051 Trafalgar Bay Road,percent,23,
0f21b755-7557-4000-881c-e2b5a6e830b6,1053 Sanderson,percent,15,
57d1532d-b09c-411d-b4a5-1373fbfda28c,1081 Bastedo,percent,20,
e2655e35-9c67-4469-95fd-c7f6c6043881,1086 Woodwinds,percent,23,
44efd35c-3864-4577-a840-6d298cfa4b9d,111 Wychwood Cres  Kawartha,percent,18,
4f7c7643-9744-4f20-a0a5-9fefcadf129e,1169 Leonard Lake,percent,20,
a897ff48-dd4f-4da6-b548-fca213ff6015,119 Minnetonka,percent,15,
9781aca7-ff62-4b90-95b7-351359449da5,13 Shady Lane,percent,23,
f279f7ae-fb8d-4bf3-8f97-6ece2f2ae02e,130 Combe,percent,15,
2735eaa9-7fbd-494e-afbc-ef59b491c31a,1356 Peninsula,percent,18,
fcae43c5-bae8-4446-ade1-f8d0f8adf573,157 Menominee,percent,23,
7ca17d0a-5d71-4483-ba65-30252f8257f8,17459  North 79th Street,percent,10,
c8125b05-39cd-4dbf-a1b7-6c04c1fa7e2d,2-1034 Centre Ave,percent,23,
a17a4b91-043a-4771-8639-035e97e917e8,2-1166 Morinus Rd,percent,18,
1b668b05-e649-4065-9902-c411156058ab,2-3014 Muskoka Road 118 West,percent,15,
96af3438-189d-4069-971e-b1e91bb6bcd4,23 GlennBruney-Cottage,percent,15,
346c25f4-31ad-4d6c-a79b-06f3e65a7800,23 GlennBurney-Bunkie,percent,15,
5c6e877f-f390-4fbf-96e8-8357d65f37d9,23GlennBurney Cottage+Bunkie,percent,15,
7ed5fd12-8dbf-42c4-844a-dadfe328cec6,2487 Falkenburg Rd,percent,23,
5a2e7706-3d38-4a97-8b9a-e55d1b411471,2487 Falkenburg-Winter,percent,23,
8a862707-8179-4ec0-a13b-889a3675aae6,253 Crescent Bay,percent,23,
a9421dbd-4190-46d6-b3e0-8d1952700ec3,298 Highfield Rd,percent,18,
49f2c6dc-bbef-45b5-b53d-e0cf8cdef3ac,2984 Muskoka Rd 169,percent,23,
bc334b78-3481-4259-bd4c-4d83952a4caa,3B Barnesdale Ln,percent,18,
55f755b3-87c9-4431-a477-1a126916e6e9,5 River Dr,percent,18,
799414da-9fcb-4d2c-915d-59a606f3bbde,501 North Bay Lake Rd,percent,23,
ed822b62-fdd3-4c71-bae1-f3b453090fc7,619 Morningview Lane,percent,15,
7897ec24-e6fa-42b4-9503-ad89658b8f4b,6893 Johnson Wagon,percent,15,